154068,g,scaledown,,,
154943,f,scaledown,,,
155839,g,scaledown prev,,,
156667,f,scaledown,,,
157456,d,scaledown,,,
158324,a,scaledown,,,
159160,a,scaledown off,introcob reset,introcob,
159414,a,introcob,,,
159578,a,introcob,,,
159688,a,introcob,,,
159987,d,introcob,,,
160240,d,introcob,,,
160412,d,introcob,,,
160507,d,introcob,,,
160840,g,introcob,,,
161067,g,introcob,,,
161247,g,introcob,,,
161364,g,introcob,,,
161694,d,introcob,,,
161958,d,introcob,,,
162110,d,introcob,,,
162235,d,introcob,,,
162380,*end,introcob off,,,
162484,a,candlebeat reset,candlebeat,,
162818,a,candlebeat,,,
163052,a,candlebeat,,,
163329,s,candlebeat,,,
163629,s,candlebeat,,,
163910,s,candlebeat,,,
164159,d,candletop off,,,
164450,s,center off,,,
164708,a,candlebottom off,,,
164989,d,candletop on,,,
165276,s,candletop off,liltrees on,door on,
165570,a,center off,candlebottom on,,
165980,*end,candlebottom off,,,
166079,l,scaleup prev,,,
166232,l,scaleup prev,,,
166390,k,scaleup prev,,,
166556,j,scaleup prev,,,
166739,h,scaleup prev,,,
166987,h,scaleup prev,,,
167177,g,scaleup prev,,,
167323,g,scaleup prev,,,
167488,h,scaleup prev,,,
167758,j,scaleup prev,,,
167915,j,scaleup prev,,,
168065,k,scaleup prev,,,
168242,j,scaleup prev,,,
168410,h,scaleup prev,,,
168625,g,scaleup prev,,,
168754,g,scaleup prev,,,
168764,f,scaleup prev,,,
168901,f,scaleup prev,,,
169191,k,scaleup prev,,,
169632,k,scaleup prev,,,
169643,l,scaleup prev,,,
169785,k,scaleup prev,,,
169933,j,scaleup prev,,,
170077,j,scaleup prev,,,
170338,h,scaleup prev,,,
170484,h,scaleup prev,,,
170639,g,scaleup prev,,,
170788,g,scaleup prev,,,
170938,h,scaleup prev,,,
171176,h,scaleup prev,,,
171310,j,scaleup prev,,,
171486,j,scaleup prev,,,
171664,h,scaleup prev,,,
171790,g,scaleup prev,,,
172017,g,scaleup prev,,,
172185,f,scaleup prev,,,
172561,f,introcob reset,introcob,,
172895,d,introcob,,,
173010,f,introcob,,,
173143,s,introcob,,,
173419,f,introcob,,,
173708,d,introcob,,,
173845,f,introcob,,,
173976,s,introcob,,,
174263,f,introcob,,,
174556,d,introcob,,,
174678,f,introcob,,,
174782,s,introcob,,,
175092,f,introcob,,,
175381,d,introcob,,,
175502,f,introcob,,,
175639,s,introcob,,,
175904,f,introcob,,,
176226,d,introcob,,,
176360,f,introcob,,,
176486,s,introcob,,,
176783,f,introcob,,,
177076,d,introcob,,,
177202,f,introcob,,,
177337,s,introcob,,,
177615,f,introcob,,,
177884,d,introcob,,,
178037,f,introcob,,,
178169,s,introcob,,,
178452,f,introcob,,,
178720,d,introcob,,,
178847,f,introcob,,,
178994,s,introcob,,,
179100,*end,introcob off,,,
184071,d,chorus 2,,,
184363,d,chorus same,,,
184693,h,chorus 6,,,
184985,h,chorus same,,,
185226,g,chorus 5,,,
185496,f,chorus 4,,,
185743,d,chorus 3,,,
186007,s,chorus 2,,,
186277,a,chorus 1,,,
186580,s,chorus 2,,,
186858,d,chorus 3,,,
187139,f,chorus 4,,,
187417,g,chorus 5,,,
187709,h,chorus 6,,,
188614,j,chorus 7,,,
189565,k,chorus 8,,,
190248,l,chorus 7,,,
191241,l,chorus 8,,,
191930,k,chorus 7,,,
192953,j,chorus 8,,,
193640,k,chorus 7,,,
194496,l,chorus 8,,,
195182,k,chorus 7,,,
196226,f,deer on,trees on,,
196426,d,bushwhite on,bushcolor on,,
196560,f,liltrees on,door on,candles on,wreath on
196651,s,iciclesides on,icicletop on,,
196900,end,all off,bushwhite off,bushcolor off,
